Time,Position_x,Position_y,Position_z,Velocity_x,Velocity_y,Velocity_z
1733850802.9400337,6.787122558884204,0.178846354577351,0.36298410129885605,0.777587391212052,-0.10528750983087293,0.03371413359815222
1733850802.950526,6.794950084362637,0.17776763608114787,0.3632565916104588,0.7864252752519068,-0.10926398665953582,0.01886693717770258
1733850802.9586549,6.802780683299151,0.1766290145841042,0.36327758068873595,0.782458264065291,-0.11615582869480291,-0.008582045068919075
1733850802.9668624,6.81064194467314,0.175423875192084,0.3629834099259763,0.7894954542379409,-0.12292505535303175,-0.043732731107822116
1733850802.9780307,6.818641732884146,0.17417213809039248,0.3628113357953063,0.7918462464095791,-0.12451109681831521,0.047745021826191655
1733850802.9860203,6.826472243524908,0.17301736959258002,0.36346711046075814,0.78196665292245,-0.11307550564933323,0.058488432451677286
1733850802.9942122,6.83416820747902,0.17199234066836883,0.3639093430143346,0.7628382400416462,-0.0975381190680045,0.03391571011305926
1733850803.0039349,6.841872533505683,0.17114555783190838,0.364074749156117,0.7743656965350258,-0.07717310994112064,0.0020810287968120325
1733850803.0139174,6.8497036695161295,0.1704650160776253,0.363967999148333,0.7874893856122444,-0.06188960764192808,-0.014992322449783851
1733850803.0217543,6.857623993309127,0.16979697437785404,0.36373074064549904,0.7941211846108439,-0.07025427084992314,-0.026478930880562725
1733850803.0310173,6.865589201661215,0.16901505907431677,0.36340416348220334,0.7978393898697324,-0.0829619773329188,-0.033196048215760034
1733850803.0407913,6.873446396310797,0.16821879640654563,0.3631877745206052,0.7793083861485091,-0.07663471332148718,-0.018882688111175217
1733850803.0493238,6.88112386056752,0.16752021312593787,0.363112303052492,0.7616139159149952,-0.06633297776730361,0.0014561272125190694
1733850803.0582066,6.8886302958715735,0.16691790340304277,0.36324161127817156,0.7447192892397845,-0.05740073805288839,0.024513525047777922
1733850803.0666673,6.895999055441657,0.1664479915718134,0.36349807444978327,0.7326090667337974,-0.042437944305568936,0.02785786088044076
1733850803.0795317,6.903251753742095,0.16609675872031957,0.36377801090841827,0.7213382392238036,-0.031031453236206787,0.02511092348258605
1733850803.0890272,6.910486783808171,0.1658172062420312,0.3639884967000025,0.7249287854576468,-0.02558450888871449,0.020599244427482743
1733850803.0973613,6.917750400053937,0.16560579200102746,0.36407252977508975,0.7279500325833136,-0.018178258923241084,0.0004244330696815077
1733850803.1063206,6.925099670488582,0.1654879201305076,0.3638762666998148,0.7397946580465492,-0.007982843711266048,-0.026788022990859015
1733850803.1215274,6.932665666834897,0.1653095209188681,0.36395878035310253,0.7530613285491463,-0.02330451439380394,0.0659882208416376
1733850803.1299171,6.94023891375797,0.1651575228097602,0.36471960663604835,0.7609830110740279,-0.009019197567456064,0.06709972265410206
1733850803.1385283,6.947796923749105,0.1650340575389103,0.36525983432405956,0.7532739590755059,-0.014564821153452787,0.04408039454894278
1733850803.152875,6.955350556468722,0.1649278637554416,0.36546007507198747,0.7562927152449899,-0.010034698451770591,0.012310592150543476
1733850803.161778,6.962922766593195,0.1647948993831255,0.36537763280923047,0.757345941995688,-0.01519929775258299,-0.022372640702884316
1733850803.1700528,6.9705177043532975,0.16447667139839375,0.3650550432982816,0.760274483675896,-0.03901093482999702,-0.03142759956653312
1733850803.1818447,6.978123401263931,0.16398387259550176,0.36463371203325634,0.7602706108483244,-0.05435813304391673,-0.04302074922106739
1733850803.190061,6.985732812251889,0.16337918783325367,0.36419372643109316,0.7609731319130101,-0.06403578711612642,-0.04288702959585571
1733850803.1982734,6.9933334135336995,0.16267424865863997,0.36393305178534335,0.7595506919173705,-0.07431168329361307,-0.012549146678649805
1733850803.209794,7.000867871625503,0.1620397511409115,0.3639254588845644,0.7502657667642125,-0.05814913821159713,0.004535573783845587
1733850803.2183166,7.008347683673014,0.16154565404940655,0.36408254972454757,0.7467782425829088,-0.04427204848494557,0.017738395223778885
1733850803.226497,7.015883518837788,0.1610819317448439,0.3643441782164564,0.757674522348082,-0.04659517491636217,0.027831888537415656
1733850803.2356663,7.023463531663543,0.16064704015568776,0.36458535639938383,0.7587216505685563,-0.04264547136083756,0.023254202301799854
1733850803.2467663,7.0310836413691415,0.1602464496984962,0.36463710394214494,0.7642955189082771,-0.03953836558612211,-0.002483257481792653
1733850803.2548459,7.038898652557171,0.1599237315567255,0.36428914481469327,0.792064066094031,-0.028338567964782492,-0.05370683750860861
1733850803.2644742,7.046867654793899,0.1595940402915289,0.364119141487623,0.7836996304830374,-0.03456434945949051,0.060398150407910044
1733850803.2741113,7.054595287266733,0.15927091862249568,0.36492355637176316,0.7715144255641803,-0.0324668696979132,0.07686816144041153
1733850803.2827775,7.062298601267612,0.1589490857806242,0.36551472759933695,0.7698066328397136,-0.031798339767264934,0.04726749208368257
1733850803.291802,7.069987479761732,0.15865017724927494,0.3658500834867655,0.7683117553681511,-0.02853646394155331,0.027129579334927732
1733850803.300108,7.0776653769544025,0.15837224044790496,0.36592979358341715,0.7672101015103505,-0.02671027158472016,0.0018653655001180764
1733850803.3095877,7.085318040529267,0.15806266799397542,0.3657643351410595,0.7638602944126207,-0.032909959408301714,-0.022754498033645168
1733850803.320215,7.092930085100786,0.1578470757821409,0.36551785713236856,0.7594636671309614,-0.015878006892757163,-0.02414191606860006
1733850803.328908,7.100517858694638,0.15780773880059207,0.3652392273453233,0.7581268178464491,0.0017134932978424195,-0.02937418063267835
1733850803.3377707,7.108031698429612,0.1578260975839524,0.36511051315030635,0.7476274150008455,0.001881900442181571,-0.0017045427671251267
1733850803.3491015,7.1154417580532145,0.1578457463214442,0.36514320289353286,0.7373427079732727,0.0019573348277541367,0.009050019180245967
1733850803.3574505,7.122748308251682,0.15786178991908523,0.3653360872524673,0.7268640157729974,0.001074904819086632,0.025856540873683626
1733850803.3658876,7.130056716417454,0.1579147816535389,0.36563440906619865,0.7328379218119853,0.007440335325266945,0.03112165613078261
1733850803.377432,7.137448418592554,0.1579317176043654,0.36593549618533733,0.7431766990507399,-0.000999582577714585,0.02470827137518324
1733850803.38729,7.144939870010735,0.15791441975438744,0.3660888579837885,0.7535788755824218,-0.0014739279786763826,0.006509157725468792
1733850803.395345,7.152496080707435,0.15784054316405055,0.36586749055196155,0.7583024784973617,-0.009770860927051997,-0.041791423619738116
1733850803.4062696,7.160209444196546,0.15776495849711397,0.36580228732084674,0.7629755597878966,-0.006216115542049497,0.0759956046092736
1733850803.4167218,7.167716534600939,0.15768108894481725,0.3666943169347349,0.7488128795102125,-0.009482046966553748,0.08147691476370107
1733850803.425591,7.175165334122733,0.15758951256493842,0.3672526988205828,0.7428352215440833,-0.008848157408911166,0.043700742507910895
1733850803.4362411,7.182670222640044,0.15742339824219478,0.3674197393856877,0.7542616694610779,-0.019946674545423843,0.004586825899528312
1733850803.4468093,7.190299414263697,0.15720734997389343,0.36727420863733923,0.7671098321846648,-0.022990164999123448,-0.01870916701039062
1733850803.4550998,7.197973616563047,0.1570541553718097,0.36702814706995907,0.7672330734816257,-0.012152322327825836,-0.03043519641050624
1733850803.464603,7.205629987153302,0.15697054302986263,0.3666227224104728,0.7641733258290823,-0.006089215295388942,-0.039516728737426725
1733850803.4741826,7.213332193407193,0.1567951965990465,0.36626555067497424,0.7730430058133341,-0.02353489877651992,-0.03184679807388389
1733850803.4868975,7.22110674721107,0.1564645695981501,0.36607822500331016,0.7799176111616173,-0.037226344411044394,-0.021139898404005025
1733850803.4964013,7.2289449942199715,0.15603261964611137,0.3660496529643592,0.7858828619933826,-0.046264006269377475,0.010341818139820998
1733850803.5053623,7.236861556971509,0.15553710018384553,0.3662421667041919,0.7953270744777255,-0.05159343355557179,0.022796955449013577
1733850803.5146463,7.24470511227302,0.15496448710151348,0.36655712016519604,0.7793225446540081,-0.06107952404656036,0.030538693202570834
1733850803.5232563,7.252430831670292,0.1544112129745755,0.366790097358874,0.7696754907714851,-0.05224998475442085,0.023647398709625962
1733850803.5317254,7.2601039952224715,0.15394820875697843,0.3668950249468687,0.7669729700359937,-0.04399339288407839,-0.003203351447317501
1733850803.5408647,7.2678052519171406,0.15353632390892225,0.36661008476591694,0.7729293564526788,-0.03986369864995475,-0.036161912552335494
1733850803.5503154,7.27555942329524,0.1532735709745078,0.3662519581325416,0.763271921021837,-0.018232071153674277,0.022067649218495626
1733850803.5583572,7.28308825226578,0.15318766351174248,0.3666650390996968,0.7522262098567903,-0.0037855526974013274,0.03431453263891727
1733850803.566772,7.290504568113924,0.15320173526544556,0.36686650479716276,0.7361037723581609,0.0037984134757967454,0.009343619074248286
1733850803.581477,7.297880750482193,0.15337827930520448,0.36691506102238225,0.7383293838809067,0.025746088099905175,0.004623621201005565
1733850803.5894802,7.305295157480119,0.15377822452267587,0.36678565884738495,0.7427181855580524,0.0484991128691687,-0.023955077451565998
1733850803.5975091,7.312759636921889,0.15425148701720917,0.36638897536814424,0.7479219218479163,0.04724233687909031,-0.046735620320752014
1733850803.6080697,7.320245405390521,0.15473363305088375,0.3658522346887705,0.7484553249519971,0.048316746933791774,-0.05316949810224139
1733850803.6213071,7.327681935838652,0.1553971749331943,0.36542644746110975,0.7406954417093058,0.07469547012121885,-0.03302754215866862
